year,class,round,session,gp_code,gp_name_ja,circuit,date,winner_id,status,note,source
1954,500cc,7,RAC,SWI,Switzerland Grand Prix,Berne,1954-08-22,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,500cc,8,RAC,NAT,ネイションズGP,Monza,1954-09-12,geoff-duke,確認済,,
1954,500cc,9,RAC,SPA,スペインGP,Montjuïc,1954-10-03,dickie-dale,確認済,,
1954,250cc,1,RAC,FRA,フランスGP,Rouen,1954-05-30,werner-haas,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,250cc,2,RAC,TT,マン島TT,Isle of Man,1954-06-18,werner-haas,確認済,,
1954,250cc,3,RAC,ULST,アルスターGP,Belfast,1954-06-24,werner-haas,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,250cc,4,RAC,NED,オランダTT,TT Circuit Assen,1954-07-10,werner-haas,確認済,,
1954,250cc,5,RAC,WGER,西ドイツGP,Solitude,1954-07-25,werner-haas,確認済,,
1954,250cc,6,RAC,SWI,Switzerland Grand Prix,Berne,1954-08-22,rupert-hollaus,確認済,,
1954,250cc,7,RAC,NAT,ネイションズGP,Monza,1954-09-12,arthur-wheeler,確認済,,
1954,350cc,1,RAC,FRA,フランスGP,Rouen,1954-05-30,pierre-monneret,確認済,,
1954,350cc,2,RAC,TT,マン島TT,Isle of Man,1954-06-18,rod-coleman,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,350cc,3,RAC,ULST,アルスターGP,Belfast,1954-06-24,ray-amm,確認済,,
1954,350cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1954-07-04,ken-kavanagh,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,350cc,5,RAC,NED,オランダTT,TT Circuit Assen,1954-07-10,fergus-anderson,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,350cc,6,RAC,WGER,西ドイツGP,Solitude,1954-07-25,ray-amm,確認済,,
1954,350cc,7,RAC,SWI,Switzerland Grand Prix,Berne,1954-08-22,fergus-anderson,確認済,,
1954,350cc,8,RAC,NAT,ネイションズGP,Monza,1954-09-12,fergus-anderson,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,350cc,9,RAC,SPA,スペインGP,Montjuïc,1954-10-03,fergus-anderson,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,125cc,1,RAC,TT,マン島TT,Isle of Man,1954-06-18,rupert-hollaus,確認済,,
1954,125cc,2,RAC,ULST,アルスターGP,Belfast,1954-06-24,rupert-hollaus,確認済,,
1954,125cc,3,RAC,NED,オランダTT,TT Circuit Assen,1954-07-10,rupert-hollaus,確認済,,
1954,125cc,4,RAC,WGER,西ドイツGP,Solitude,1954-07-25,rupert-hollaus,確認済,,
1954,125cc,5,RAC,NAT,ネイションズGP,Monza,1954-09-12,guido-sala,確認済,,
1954,125cc,6,RAC,SPA,スペインGP,Montjuïc,1954-10-03,tarquinio-provini,確認済,,
1955,500cc,1,RAC,SPA,スペインGP,Montjuïc,1955-05-01,reg-armstrong,確認済,,
1955,500cc,2,RAC,FRA,フランスGP,Reims,1955-05-15,geoff-duke,確認済,公式リザルトに結果データがないため、ポイント獲得者などの着順のみ掲載（出典：英語版Wikipedia 年間順位表）,
1955,500cc,3,RAC,TT,マン島TT,Isle of Man,1955-06-10,geoff-duke,確認済,公式リザルトに結果データがないため、ポイント獲得者などの着順のみ掲載（出典：英語版Wikipedia 年間順位表）,
1955,500cc,4,RAC,WGER,西ドイツGP,Nurburgring,1955-06-26,geoff-duke,確認済,,
1955,500cc,5,RAC,BEL,ベルギーGP,Spa-Francorchamps,1955-07-03,giuseppe-colnago,確認済,,
1955,500cc,6,RAC,NED,オランダTT,TT Circuit Assen,1955-07-30,geoff-duke,確認済,公式リザルトに結果データがないため、ポイント獲得者などの着順のみ掲載（出典：英語版Wikipedia 年間順位表）,
1955,500cc,7,RAC,ULST,アルスターGP,Belfast,1955-08-13,bill-lomas,確認済,公式リザルトに結果データがないため、ポイント獲得者などの着順のみ掲載（出典：英語版Wikipedia 年間順位表）,
1955,500cc,8,RAC,NAT,ネイションズGP,Monza,1955-09-04,umberto-masetti,確認済,,
1955,250cc,1,RAC,TT,マン島TT,Isle of Man,1955-06-10,bill-lomas,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,250cc,2,RAC,WGER,西ドイツGP,Nurburgring,1955-06-26,hermann-paul-muller,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,250cc,3,RAC,NED,オランダTT,TT Circuit Assen,1955-07-30,luigi-taveri,確認済,,
1955,250cc,4,RAC,ULST,アルスターGP,Belfast,1955-08-13,john-surtees,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1955,250cc,5,RAC,NAT,ネイションズGP,Monza,1955-09-04,carlo-ubbiali,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,350cc,1,RAC,FRA,フランスGP,Reims,1955-05-15,duilio-agostini,確認済,,
1955,350cc,2,RAC,TT,マン島TT,Isle of Man,1955-06-10,bill-lomas,確認済,,
1955,350cc,3,RAC,WGER,西ドイツGP,Nurburgring,1955-06-26,bill-lomas,確認済,,
1955,350cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1955-07-03,bill-lomas,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,350cc,5,RAC,NED,オランダTT,TT Circuit Assen,1955-07-30,ken-kavanagh,確認済,,
1955,350cc,6,RAC,ULST,アルスターGP,Belfast,1955-08-13,bill-lomas,確認済,,
1955,350cc,7,RAC,NAT,ネイションズGP,Monza,1955-09-04,dickie-dale,確認済,,
1955,125cc,1,RAC,SPA,スペインGP,Montjuïc,1955-05-01,luigi-taveri,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,125cc,2,RAC,FRA,フランスGP,Reims,1955-05-15,carlo-ubbiali,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,125cc,3,RAC,TT,マン島TT,Isle of Man,1955-06-10,carlo-ubbiali,確認済,,
1955,125cc,4,RAC,WGER,西ドイツGP,Nurburgring,1955-06-26,carlo-ubbiali,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1955,125cc,5,RAC,NED,オランダTT,TT Circuit Assen,1955-07-30,carlo-ubbiali,確認済,,
1955,125cc,6,RAC,NAT,ネイションズGP,Monza,1955-09-04,carlo-ubbiali,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1956,500cc,1,RAC,TT,マン島TT,Isle of Man,1956-06-08,john-surtees,確認済,,
1956,500cc,2,RAC,NED,オランダTT,TT Circuit Assen,1956-06-30,john-surtees,確認済,公式リザルトに結果データがないため、ポイント獲得者などの着順のみ掲載（出典：英語版Wikipedia 年間順位表）,
1956,500cc,3,RAC,BEL,ベルギーGP,Spa-Francorchamps,1956-07-08,john-surtees,確認済,,
1956,500cc,4,RAC,WGER,西ドイツGP,Solitude,1956-07-22,reg-armstrong,確認済,公式リザルトに結果データがないため、ポイント獲得者などの着順のみ掲載（出典：英語版Wikipedia 年間順位表）,
1956,500cc,5,RAC,ULST,アルスターGP,Belfast,1956-08-11,john-hartle,確認済,,
1956,500cc,6,RAC,NAT,ネイションズGP,Monza,1956-09-09,geoff-duke,確認済,,
1956,250cc,1,RAC,TT,マン島TT,Isle of Man,1956-06-08,carlo-ubbiali,確認済,,
1956,250cc,2,RAC,NED,オランダTT,TT Circuit Assen,1956-06-30,carlo-ubbiali,確認済,,
1956,250cc,3,RAC,BEL,ベルギーGP,Spa-Francorchamps,1956-07-08,carlo-ubbiali,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1956,250cc,4,RAC,WGER,西ドイツGP,Solitude,1956-07-22,carlo-ubbiali,確認済,,
1956,250cc,5,RAC,ULST,アルスターGP,Belfast,1956-08-11,luigi-taveri,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1956,250cc,6,RAC,NAT,ネイションズGP,Monza,1956-09-09,carlo-ubbiali,確認済,,
1956,350cc,1,RAC,TT,マン島TT,Isle of Man,1956-06-08,ken-kavanagh,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1956,350cc,2,RAC,NED,オランダTT,TT Circuit Assen,1956-06-30,bill-lomas,確認済,,
1956,350cc,3,RAC,BEL,ベルギーGP,Spa-Francorchamps,1956-07-08,john-surtees,確認済,,
1956,350cc,4,RAC,WGER,西ドイツGP,Solitude,1956-07-22,bill-lomas,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1956,350cc,5,RAC,ULST,アルスターGP,Belfast,1956-08-11,bill-lomas,確認済,,
1956,350cc,6,RAC,NAT,ネイションズGP,Monza,1956-09-09,libero-liberati,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1956,125cc,1,RAC,TT,マン島TT,Isle of Man,1956-06-08,carlo-ubbiali,確認済,,
1956,125cc,2,RAC,NED,オランダTT,TT Circuit Assen,1956-06-30,carlo-ubbiali,確認済,,
1956,125cc,3,RAC,BEL,ベルギーGP,Spa-Francorchamps,1956-07-08,carlo-ubbiali,確認済,,
1956,125cc,4,RAC,WGER,西ドイツGP,Solitude,1956-07-22,romolo-ferri,確認済,,
1956,125cc,5,RAC,ULST,アルスターGP,Belfast,1956-08-11,carlo-ubbiali,確認済,,
