year,class,rider_id,rider_name,nationality,maker,status
2005,125cc,thomas-luthi,トーマス・ルティ,スイス,ホンダ,記憶
2006,125cc,alvaro-bautista,アルバロ・バウティスタ,スペイン,アプリリア,記憶
2007,125cc,gabor-talmacsi,ガボール・タルマクシ,ハンガリー,アプリリア,記憶
2008,125cc,mike-di-meglio,マイク・ディ・メリオ,フランス,デルビ,記憶
2009,125cc,julian-simon,フリアン・シモン,スペイン,アプリリア,記憶
2010,125cc,marc-marquez,マルク・マルケス,スペイン,デルビ,記憶
2011,125cc,nicolas-terol,ニコラス・テロル,スペイン,アプリリア,記憶
1949,250cc,,ブルーノ・ルッフォ,イタリア,モトグッツィ,記憶
1961,250cc,,マイク・ヘイルウッド,英国,ホンダ,記憶
1962,250cc,,ジム・レッドマン,ローデシア,ホンダ,記憶
1963,250cc,,ジム・レッドマン,ローデシア,ホンダ,記憶
1964,250cc,,フィル・リード,英国,ヤマハ,記憶
1965,250cc,,フィル・リード,英国,ヤマハ,記憶
1966,250cc,,マイク・ヘイルウッド,英国,ホンダ,記憶
1967,250cc,,マイク・ヘイルウッド,英国,ホンダ,記憶
1968,250cc,,フィル・リード,英国,ヤマハ,記憶
1978,250cc,,コーク・バリントン,南アフリカ,カワサキ,記憶
1979,250cc,,コーク・バリントン,南アフリカ,カワサキ,記憶
1980,250cc,,アントン・マン,西ドイツ,カワサキ,記憶
1981,250cc,,アントン・マン,西ドイツ,カワサキ,記憶
1982,250cc,,ジャン＝ルイ・トゥルナドル,フランス,ヤマハ,記憶
1983,250cc,,カルロス・ラバード,ベネズエラ,ヤマハ,記憶
1984,250cc,,クリスチャン・サロン,フランス,ヤマハ,記憶
1985,250cc,,フレディ・スペンサー,米国,ホンダ,記憶
1986,250cc,,カルロス・ラバード,ベネズエラ,ヤマハ,記憶
1987,250cc,,アントン・マン,西ドイツ,ホンダ,記憶
1988,250cc,,シト・ポンス,スペイン,ホンダ,記憶
1989,250cc,,シト・ポンス,スペイン,ホンダ,記憶
1990,250cc,,ジョン・コシンスキー,米国,ヤマハ,記憶
1991,250cc,,ルカ・カダローラ,イタリア,ホンダ,記憶
1992,250cc,,ルカ・カダローラ,イタリア,ホンダ,記憶
1993,250cc,,原田哲也,日本,ヤマハ,記憶
1994,250cc,max-biaggi,マックス・ビアッジ,イタリア,アプリリア,記憶
1995,250cc,max-biaggi,マックス・ビアッジ,イタリア,アプリリア,記憶
1996,250cc,max-biaggi,マックス・ビアッジ,イタリア,アプリリア,記憶
1997,250cc,max-biaggi,マックス・ビアッジ,イタリア,ホンダ,記憶
1998,250cc,,ロリス・カピロッシ,イタリア,アプリリア,記憶
1999,250cc,valentino-rossi,バレンティーノ・ロッシ,イタリア,アプリリア,記憶
2000,250cc,,オリビエ・ジャック,フランス,ヤマハ,記憶
2001,250cc,,加藤大治郎,日本,ホンダ,記憶
2002,250cc,marco-melandri,マルコ・メランドリ,イタリア,アプリリア,記憶
2003,250cc,manuel-poggiali,マヌエル・ポジャーリ,サンマリノ,アプリリア,記憶
2004,250cc,dani-pedrosa,ダニ・ペドロサ,スペイン,ホンダ,記憶
2005,250cc,dani-pedrosa,ダニ・ペドロサ,スペイン,ホンダ,記憶
2006,250cc,jorge-lorenzo,ホルヘ・ロレンソ,スペイン,アプリリア,記憶
2007,250cc,jorge-lorenzo,ホルヘ・ロレンソ,スペイン,アプリリア,記憶
2008,250cc,marco-simoncelli,マルコ・シモンチェリ,イタリア,ジレラ,記憶
2009,250cc,hiroshi-aoyama,青山博一,日本,ホンダ,記憶
1949,350cc,,フレディ・フリス,英国,ヴェロセット,記憶
1962,350cc,,ジム・レッドマン,ローデシア,ホンダ,記憶
1963,350cc,,ジム・レッドマン,ローデシア,ホンダ,記憶
1964,350cc,,ジム・レッドマン,ローデシア,ホンダ,記憶
1965,350cc,,ジム・レッドマン,ローデシア,ホンダ,記憶
1966,350cc,,マイク・ヘイルウッド,英国,ホンダ,記憶
1967,350cc,,マイク・ヘイルウッド,英国,ホンダ,記憶
1968,350cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1969,350cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1970,350cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1971,350cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1972,350cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1973,350cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1974,350cc,,ジャコモ・アゴスチーニ,イタリア,ヤマハ,記憶
1977,350cc,,片山敬済,日本,ヤマハ,記憶
1978,350cc,,コーク・バリントン,南アフリカ,カワサキ,記憶
1979,350cc,,コーク・バリントン,南アフリカ,カワサキ,記憶
1980,350cc,,ジョン・エケロルド,南アフリカ,ヤマハ,記憶
1981,350cc,,アントン・マン,西ドイツ,カワサキ,記憶
1982,350cc,,アントン・マン,西ドイツ,カワサキ,記憶
1949,500cc,,レスリー・グラハム,英国,AJS,記憶
1950,500cc,,ウンベルト・マセッティ,イタリア,ジレラ,記憶
1951,500cc,,ジェフ・デューク,英国,ノートン,記憶
1952,500cc,,ウンベルト・マセッティ,イタリア,ジレラ,記憶
1953,500cc,,ジェフ・デューク,英国,ジレラ,記憶
1954,500cc,,ジェフ・デューク,英国,ジレラ,記憶
1955,500cc,,ジェフ・デューク,英国,ジレラ,記憶
1956,500cc,,ジョン・サーティース,英国,MVアグスタ,記憶
1957,500cc,,リベロ・リベラティ,イタリア,ジレラ,記憶
1958,500cc,,ジョン・サーティース,英国,MVアグスタ,記憶
1959,500cc,,ジョン・サーティース,英国,MVアグスタ,記憶
1960,500cc,,ジョン・サーティース,英国,MVアグスタ,記憶
1961,500cc,,ゲイリー・ホッキング,ローデシア,MVアグスタ,記憶
1962,500cc,,マイク・ヘイルウッド,英国,MVアグスタ,記憶
1963,500cc,,マイク・ヘイルウッド,英国,MVアグスタ,記憶
1964,500cc,,マイク・ヘイルウッド,英国,MVアグスタ,記憶
1965,500cc,,マイク・ヘイルウッド,英国,MVアグスタ,記憶
1966,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1967,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1968,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1969,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1970,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1971,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1972,500cc,,ジャコモ・アゴスチーニ,イタリア,MVアグスタ,記憶
1973,500cc,,フィル・リード,英国,MVアグスタ,記憶
1974,500cc,,フィル・リード,英国,MVアグスタ,記憶
1975,500cc,,ジャコモ・アゴスチーニ,イタリア,ヤマハ,記憶
1976,500cc,,バリー・シーン,英国,スズキ,記憶
1977,500cc,,バリー・シーン,英国,スズキ,記憶
1978,500cc,,ケニー・ロバーツ,米国,ヤマハ,記憶
1979,500cc,,ケニー・ロバーツ,米国,ヤマハ,記憶
1980,500cc,,ケニー・ロバーツ,米国,ヤマハ,記憶
1981,500cc,,マルコ・ルッキネリ,イタリア,スズキ,記憶
1982,500cc,,フランコ・ウンチーニ,イタリア,スズキ,記憶
1983,500cc,,フレディ・スペンサー,米国,ホンダ,記憶
1984,500cc,,エディ・ローソン,米国,ヤマハ,記憶
1985,500cc,,フレディ・スペンサー,米国,ホンダ,記憶
1986,500cc,,エディ・ローソン,米国,ヤマハ,記憶
1987,500cc,,ワイン・ガードナー,豪州,ホンダ,記憶
1988,500cc,,エディ・ローソン,米国,ヤマハ,記憶
1989,500cc,,エディ・ローソン,米国,ホンダ,記憶
1990,500cc,,ウェイン・レイニー,米国,ヤマハ,記憶
1991,500cc,,ウェイン・レイニー,米国,ヤマハ,記憶
1992,500cc,,ウェイン・レイニー,米国,ヤマハ,記憶
1993,500cc,,ケビン・シュワンツ,米国,スズキ,記憶
1994,500cc,,ミック・ドゥーハン,豪州,ホンダ,記憶
1995,500cc,,ミック・ドゥーハン,豪州,ホンダ,記憶
1996,500cc,,ミック・ドゥーハン,豪州,ホンダ,記憶
1997,500cc,,ミック・ドゥーハン,豪州,ホンダ,記憶
1998,500cc,,ミック・ドゥーハン,豪州,ホンダ,記憶
1999,500cc,,アレックス・クリビーレ,スペイン,ホンダ,記憶
2000,500cc,,ケニー・ロバーツJr.,米国,スズキ,記憶
2001,500cc,valentino-rossi,バレンティーノ・ロッシ,イタリア,ホンダ,記憶
1962,50cc,,エルンスト・デグナー,西ドイツ,スズキ,記憶
1963,50cc,,ヒュー・アンダーソン,NZ,スズキ,記憶
1964,50cc,,ヒュー・アンダーソン,NZ,スズキ,記憶
1965,50cc,,ラルフ・ブライアンズ,英国,ホンダ,記憶
1966,50cc,,ハンス＝ゲオルグ・アンシャイト,西ドイツ,スズキ,記憶
1967,50cc,,ハンス＝ゲオルグ・アンシャイト,西ドイツ,スズキ,記憶
1968,50cc,,ハンス＝ゲオルグ・アンシャイト,西ドイツ,スズキ,記憶
1969,50cc,,アンヘル・ニエト,スペイン,デルビ,記憶
1970,50cc,,アンヘル・ニエト,スペイン,デルビ,記憶
1972,50cc,,アンヘル・ニエト,スペイン,デルビ,記憶
1975,50cc,,アンヘル・ニエト,スペイン,クライドラー,記憶
1976,50cc,,アンヘル・ニエト,スペイン,ブルタコ,記憶
1977,50cc,,アンヘル・ニエト,スペイン,ブルタコ,記憶
1981,50cc,,リカルド・トルモ,スペイン,ブルタコ,記憶
1983,50cc,,シュテファン・デルフリンガー,スイス,クライドラー,記憶
1984,80cc,,シュテファン・デルフリンガー,スイス,ツェンダップ,記憶
1985,80cc,,シュテファン・デルフリンガー,スイス,クラウザー,記憶
1986,80cc,,ホルヘ・マルティネス,スペイン,デルビ,記憶
1987,80cc,,ホルヘ・マルティネス,スペイン,デルビ,記憶
1988,80cc,,ホルヘ・マルティネス,スペイン,デルビ,記憶
1989,80cc,,マヌエル・エレロス,スペイン,デルビ,記憶
2010,Moto2,toni-elias,トニ・エリアス,スペイン,モリワキ,記憶
2011,Moto2,stefan-bradl,シュテファン・ブラドル,ドイツ,カレックス,記憶
2012,Moto2,marc-marquez,マルク・マルケス,スペイン,ズッター,記憶
2013,Moto2,pol-espargaro,ポル・エスパルガロ,スペイン,カレックス,記憶
2014,Moto2,tito-rabat,ティト・ラバト,スペイン,カレックス,記憶
2015,Moto2,johann-zarco,ヨハン・ザルコ,フランス,カレックス,記憶
2016,Moto2,johann-zarco,ヨハン・ザルコ,フランス,カレックス,記憶
2017,Moto2,franco-morbidelli,フランコ・モルビデリ,イタリア,カレックス,記憶
2018,Moto2,francesco-bagnaia,フランチェスコ・バニャイア,イタリア,カレックス,記憶
2019,Moto2,alex-marquez,アレックス・マルケス,スペイン,カレックス,記憶
2020,Moto2,enea-bastianini,エネア・バスティアニーニ,イタリア,カレックス,記憶
2021,Moto2,remy-gardner,レミー・ガードナー,豪州,カレックス,記憶
2022,Moto2,augusto-fernandez,アウグスト・フェルナンデス,スペイン,カレックス,記憶
2023,Moto2,pedro-acosta,ペドロ・アコスタ,スペイン,カレックス,記憶
2024,Moto2,ai-ogura,小椋藍,日本,ボスコスクーロ,確認済
2025,Moto2,diogo-moreira,ディオゴ・モレイラ,ブラジル,カレックス,確認済
2012,Moto3,sandro-cortese,サンドロ・コルテーゼ,ドイツ,KTM,記憶
2013,Moto3,maverick-vinales,マーベリック・ビニャーレス,スペイン,KTM,記憶
2014,Moto3,alex-marquez,アレックス・マルケス,スペイン,ホンダ,記憶
2015,Moto3,danny-kent,ダニー・ケント,英国,ホンダ,記憶
2016,Moto3,brad-binder,ブラッド・ビンダー,南アフリカ,KTM,記憶
2017,Moto3,joan-mir,ジョアン・ミル,スペイン,ホンダ,記憶
2018,Moto3,jorge-martin,ホルヘ・マルティン,スペイン,ホンダ,記憶
2019,Moto3,lorenzo-dalla-porta,ロレンツォ・ダッラ・ポルタ,イタリア,ホンダ,記憶
2020,Moto3,albert-arenas,アルベルト・アレナス,スペイン,KTM,記憶
2021,Moto3,pedro-acosta,ペドロ・アコスタ,スペイン,KTM,記憶
2022,Moto3,izan-guevara,イサン・ゲバラ,スペイン,ガスガス,記憶
2023,Moto3,jaume-masia,ジャウメ・マシア,スペイン,ホンダ,記憶
2024,Moto3,david-alonso,ダビド・アロンソ,コロンビア,CFMoto,確認済
2025,Moto3,jose-antonio-rueda,ホセ・アントニオ・ルエダ,スペイン,KTM,確認済
2002,MotoGP,valentino-rossi,バレンティーノ・ロッシ,イタリア,ホンダ,記憶
2003,MotoGP,valentino-rossi,バレンティーノ・ロッシ,イタリア,ホンダ,記憶
2004,MotoGP,valentino-rossi,バレンティーノ・ロッシ,イタリア,ヤマハ,記憶
2005,MotoGP,valentino-rossi,バレンティーノ・ロッシ,イタリア,ヤマハ,記憶
2006,MotoGP,nicky-hayden,ニッキー・ヘイデン,米国,ホンダ,記憶
2007,MotoGP,casey-stoner,ケーシー・ストーナー,豪州,ドゥカティ,記憶
2008,MotoGP,valentino-rossi,バレンティーノ・ロッシ,イタリア,ヤマハ,記憶
2009,MotoGP,valentino-rossi,バレンティーノ・ロッシ,イタリア,ヤマハ,記憶
2010,MotoGP,jorge-lorenzo,ホルヘ・ロレンソ,スペイン,ヤマハ,記憶
2011,MotoGP,casey-stoner,ケーシー・ストーナー,豪州,ホンダ,記憶
2012,MotoGP,jorge-lorenzo,ホルヘ・ロレンソ,スペイン,ヤマハ,記憶
2013,MotoGP,marc-marquez,マルク・マルケス,スペイン,ホンダ,記憶
2014,MotoGP,marc-marquez,マルク・マルケス,スペイン,ホンダ,記憶
2015,MotoGP,jorge-lorenzo,ホルヘ・ロレンソ,スペイン,ヤマハ,記憶
2016,MotoGP,marc-marquez,マルク・マルケス,スペイン,ホンダ,記憶
2017,MotoGP,marc-marquez,マルク・マルケス,スペイン,ホンダ,記憶
2018,MotoGP,marc-marquez,マルク・マルケス,スペイン,ホンダ,記憶
2019,MotoGP,marc-marquez,マルク・マルケス,スペイン,ホンダ,記憶
2020,MotoGP,joan-mir,ジョアン・ミル,スペイン,スズキ,記憶
2021,MotoGP,fabio-quartararo,ファビオ・クアルタラロ,フランス,ヤマハ,記憶
2022,MotoGP,francesco-bagnaia,フランチェスコ・バニャイア,イタリア,ドゥカティ,記憶
2023,MotoGP,francesco-bagnaia,フランチェスコ・バニャイア,イタリア,ドゥカティ,記憶
2024,MotoGP,jorge-martin,ホルヘ・マルティン,スペイン,ドゥカティ,確認済
2025,MotoGP,marc-marquez,マルク・マルケス,スペイン,ドゥカティ,確認済
