year,class,rounds,runner_up_id,constructor_champion,summary,rule_changes,status
1955,250cc,5,bill-lomas,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1955,350cc,7,dickie-dale,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1955,125cc,6,,,公式の年間順位データがなく、レース結果も一部のみのため、年間順位は未掲載。,,確認済
1956,500cc,6,walter-zeller,,,,確認済
1956,250cc,6,luigi-taveri,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1956,350cc,6,dickie-dale,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1956,125cc,6,romolo-ferri,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1957,500cc,6,bob-mcintyre,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1957,250cc,6,tarquinio-provini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1957,350cc,6,libero-liberati,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1957,125cc,6,,,公式の年間順位データがなく、レース結果も一部のみのため、年間順位は未掲載。,,確認済
1958,500cc,7,john-hartle,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1958,250cc,6,horst-fugner,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1958,350cc,7,john-hartle,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1958,125cc,7,alberto-gandossi,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1959,500cc,8,remo-venturi,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1959,250cc,7,tarquinio-provini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1959,350cc,7,john-hartle,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1959,125cc,7,tarquinio-provini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1960,500cc,7,remo-venturi,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1960,250cc,6,gary-hocking,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1960,350cc,5,gary-hocking,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1960,125cc,5,gary-hocking,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1961,500cc,10,mike-hailwood,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1961,250cc,11,tom-phillis,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1961,350cc,7,franta-stastny,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1961,125cc,11,ernst-degner,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1962,500cc,8,alan-shepherd,,,,確認済
1962,250cc,10,bob-mcintyre,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1962,350cc,6,tommy-robb,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1962,125cc,11,jim-redman,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1962,50cc,10,hans-georg-anscheidt,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1963,500cc,8,alan-shepherd,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1963,250cc,10,tarquinio-provini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1963,350cc,8,mike-hailwood,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1963,125cc,12,luigi-taveri,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1963,50cc,9,hans-georg-anscheidt,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1964,500cc,9,jack-ahearn,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1964,250cc,11,jim-redman,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1964,350cc,8,bruce-beale,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1964,125cc,11,jim-redman,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1964,50cc,9,ralph-bryans,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1965,500cc,10,giacomo-agostini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1965,250cc,13,michelle-duff,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1965,350cc,9,giacomo-agostini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1965,125cc,12,frank-perris,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1965,50cc,8,luigi-taveri,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1966,500cc,9,mike-hailwood,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1966,250cc,12,phil-read,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1966,350cc,11,giacomo-agostini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1966,125cc,10,bill-ivy,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1966,50cc,6,luigi-taveri,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1967,500cc,10,mike-hailwood,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1967,250cc,13,phil-read,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1967,350cc,8,giacomo-agostini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1967,125cc,12,phil-read,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1967,50cc,7,yoshimi-katayama,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1968,500cc,10,jack-findlay,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1968,250cc,10,bill-ivy,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1968,350cc,7,renzo-pasolini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1968,125cc,9,bill-ivy,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1968,50cc,5,paul-lodewijkx,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1969,500cc,12,gyula-marsovszky,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1969,250cc,12,kent-andersson,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1969,350cc,10,silvio-grassetti,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1969,125cc,11,dieter-braun,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1969,50cc,10,aalt-toersen,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1970,500cc,11,ginger-molloy,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1970,250cc,12,kel-carruthers,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1970,350cc,10,kel-carruthers,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1970,125cc,11,angel-nieto,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1970,50cc,10,aalt-toersen,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1971,500cc,11,keith-turner,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1971,250cc,12,rodney-gould,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1971,350cc,11,jarno-saarinen,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1971,125cc,11,barry-sheene,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1971,50cc,9,angel-nieto,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1972,500cc,13,alberto-pagani,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1972,250cc,13,renzo-pasolini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1972,350cc,12,jarno-saarinen,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1972,125cc,13,kent-andersson,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1972,50cc,8,jan-de-vries,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1973,500cc,11,kim-newcombe,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1973,250cc,11,teuvo-lansivuori,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1973,350cc,11,teuvo-lansivuori,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1973,125cc,12,chas-mortimer,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1973,50cc,7,bruno-kneubuhler,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1974,500cc,10,gianfranco-bonera,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1974,250cc,10,dieter-braun,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1974,350cc,10,dieter-braun,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1974,125cc,10,bruno-kneubuhler,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1974,50cc,10,herbert-rittberger,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1975,500cc,10,phil-read,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1975,250cc,11,michel-rougerie,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1975,350cc,10,giacomo-agostini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1975,125cc,10,pier-paolo-bianchi,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1975,50cc,8,eugenio-lazzarini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1976,500cc,10,teuvo-lansivuori,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1976,250cc,11,takazumi-katayama,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1976,350cc,10,johnny-cecotto,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1976,125cc,9,angel-nieto,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1976,50cc,9,herbert-rittberger,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1977,500cc,11,steve-baker,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
