id,name_ja,name_en,nationality,birth_year,birth_date,birthplace,profile,status,api_id
joan-mir,ジョアン・ミル,Joan Mir,スペイン,1997,1997-09-01,Palma de Mallorca,2017年Moto3王者。2020年にスズキでMotoGP王座を獲得,記憶,f55f9c34-8621-437b-ae04-ae2418720204
franco-morbidelli,フランコ・モルビデリ,Franco Morbidelli,イタリア,1994,1994-12-04,Rome,,記憶,4113c5f7-33c5-4246-b05b-3f81f4ddbd8f
fabio-quartararo,ファビオ・クアルタラロ,Fabio Quartararo,フランス,1999,1999-04-20,Nice,2021年、フランス人として初の最高峰王者（ヤマハ）,記憶,bf95d959-6a60-44f1-84b5-ded861e62578
francesco-bagnaia,フランチェスコ・バニャイア,Francesco Bagnaia,イタリア,1997,1997-01-14,Torino,2018年Moto2王者。2022・2023年にドゥカティでMotoGP連覇,記憶,66b78301-5826-4986-b11e-fa68a7bd77a7
jorge-martin,ホルヘ・マルティン,Jorge Martín,スペイン,1998,1998-01-29,Madrid,2018年Moto3王者。2024年、サテライトチームのプラマックでMotoGP王座,記憶,5b9af34e-da94-4ca2-9c4c-6be0fc8b1bbc
alex-marquez,アレックス・マルケス,Álex Márquez,スペイン,1996,1996-04-23,Cervera,Moto3・Moto2王者。兄マルクとともに2025年ランキング1・2位を独占,記憶,41195f0f-9817-4a4d-913e-c1fbbb351d9b
enea-bastianini,エネア・バスティアニーニ,Enea Bastianini,イタリア,1997,1997-12-30,Rimini,,記憶,00db2312-15f2-4333-be5c-4bbff9d17aec
marco-bezzecchi,マルコ・ベッツェッキ,Marco Bezzecchi,イタリア,1998,1998-11-12,Rimini,,記憶,e622ec5b-5ccf-457c-a67f-ec028f0ddf6e
fabio-di-giannantonio,ファビオ・ディ・ジャンアントニオ,Fabio Di Giannantonio,イタリア,1998,1998-10-10,Rome,,記憶,525b1551-f10b-4cfd-9b43-59af6fca654b
aleix-espargaro,アレイシ・エスパルガロ,Aleix Espargaró,スペイン,1989,1989-07-30,Granollers,2022年アルゼンチンGPでアプリリアにMotoGP初優勝をもたらした,記憶,a2f51450-cb43-4d32-8eef-bda9ebb435ed
maverick-vinales,マーベリック・ビニャーレス,Maverick Viñales,スペイン,1995,1995-01-12,Figueres,2013年Moto3王者。スズキ、ヤマハ、アプリリアで優勝し、3メーカーでの優勝を達成,記憶,71df6f0d-51c3-4cdb-9f5c-51939e6f33f2
miguel-oliveira,ミゲール・オリベイラ,Miguel Oliveira,ポルトガル,1995,1995-01-04,Pragal,ポルトガル出身。KTMで最高峰初優勝を挙げた,記憶,50b4fb1f-1785-4a9a-a65c-97d0de9daa22
raul-fernandez,ラウル・フェルナンデス,Raúl Fernández,スペイン,2000,2000-10-23,Madrid,,記憶,eec1f7dc-b115-44f6-82aa-73130e5c92cf
brad-binder,ブラッド・ビンダー,Brad Binder,南アフリカ,1995,1995-08-11,Potchefstroom,2016年Moto3王者。2020年チェコGPでKTMに最高峰初優勝をもたらした,記憶,ade5ef32-01ea-487c-95ca-491544a668ed
jack-miller,ジャック・ミラー,Jack Miller,豪州,1995,1995-01-18,Townsville,Moto3から最高峰へ直接昇格。2016年オランダGPで初優勝,記憶,b0c1fea6-2dd5-4e26-8a18-0ac9fe6870e4
pedro-acosta,ペドロ・アコスタ,Pedro Acosta,スペイン,2004,2004-05-25,Murcia,Moto3・Moto2王者。2024年にMotoGPへ昇格,記憶,ea39a0af-95d3-4a37-81a7-f332efdb9216
augusto-fernandez,アウグスト・フェルナンデス,Augusto Fernández,スペイン,1997,1997-09-23,Madrid,,記憶,eb7f90b1-9373-4089-b2f5-adbc234a3526
alex-rins,アレックス・リンス,Álex Rins,スペイン,1995,1995-12-08,Barcelona,,記憶,04bf0ce4-5062-44fc-9745-ec85a8d8f8d3
luca-marini,ルカ・マリーニ,Luca Marini,イタリア,1997,1997-08-10,Urbino,,記憶,5dfc20db-c3c4-4ecd-9c7c-f6cfd042031a
johann-zarco,ヨハン・ザルコ,Johann Zarco,フランス,1990,1990-07-16,Cannes,2015・2016年Moto2王者。2023年オーストラリアGPで最高峰初優勝,記憶,4a439bde-305a-4995-b3e7-783fa99f784a
takaaki-nakagami,中上貴晶,Takaaki Nakagami,日本,1992,1992-02-09,Chiba,LCRホンダで長く最高峰に参戦した日本人ライダー,記憶,a7b4d63f-45b3-402e-b66c-001ed8a62934
fermin-aldeguer,フェルミン・アルデゲル,Fermín Aldeguer,スペイン,2005,2005-04-05,El Palmar,,記憶,71052114-5bce-4307-908c-4cc2bd387aac
ai-ogura,小椋藍,Ai Ogura,日本,2001,2001-01-26,Kiyose,2024年Moto2王者。2025年からMotoGPに参戦,記憶,244b6f51-ac33-40ee-876d-9401dc9d1346
somkiat-chantra,ソムキアット・チャントラ,Somkiat Chantra,タイ,1998,1998-12-15,Chon Buri,,記憶,fa8ac04c-8fa2-4c43-9aa5-cc79b1f35fb9
toprak-razgatlioglu,トプラク・ラズガットリオグル,Toprak Razgatlıoğlu,トルコ,1996,,,,記憶,
diogo-moreira,ディオゴ・モレイラ,Diogo Moreira,ブラジル,2004,2004-04-23,São Paulo,,記憶,e2479f8e-dad8-4191-9a6c-9d4aafa8c3a3
manuel-poggiali,マヌエル・ポジャーリ,Manuel Poggiali,サンマリノ,1983,1983-02-14,San Marino,,記憶,a0fc956d-67af-436c-923b-d7be2111ebb7
marco-simoncelli,マルコ・シモンチェリ,Marco Simoncelli,イタリア,1987,1987-01-20,Cattolica,2008年250cc王者。2011年マレーシアGPの事故で死去。ミサノ・サーキットに名を残す,記憶,2f1b11d9-7a0b-4a1d-b9b4-b22c53b5aa13
hiroshi-aoyama,青山博一,Hiroshi Aoyama,日本,1981,1981-10-25,Chiba,2009年250cc最後の王者,記憶,eee55d7a-a378-42d8-8906-6e2f0d124fd4
arnaud-vincent,アルノー・ヴァンサン,Arnaud Vincent,フランス,1974,1974-11-30,Mancy,,記憶,366060f1-efaf-427e-93a7-a8ee52978629
thomas-luthi,トーマス・ルティ,Thomas Lüthi,スイス,1986,1986-09-06,Oberdiessbach,,記憶,481ce334-fd34-488b-b1b9-7ebf6f813122
alvaro-bautista,アルバロ・バウティスタ,Álvaro Bautista,スペイン,1984,1984-11-21,Talavera de la Reina,,記憶,47b6c685-654a-483c-b1ef-09724ac9bc34
gabor-talmacsi,ガボール・タルマクシ,Gábor Talmácsi,ハンガリー,1981,1981-05-28,Budapest,,記憶,abf8b509-7a43-487c-9e56-ccd5cfe1193c
mike-di-meglio,マイク・ディ・メリオ,Mike Di Meglio,フランス,1988,1988-01-17,Toulouse,,記憶,7b12d298-b3e7-41a2-bb41-41a8deec644d
julian-simon,フリアン・シモン,Julián Simón,スペイン,1987,1987-04-03,Villacañas,,記憶,631d2030-3523-49af-9df2-a02a7c4113ff
nicolas-terol,ニコラス・テロル,Nicolás Terol,スペイン,1988,1988-09-27,Alcoy,,記憶,9741363e-6f88-42bb-8291-01dd6a48cb4a
toni-elias,トニ・エリアス,Toni Elías,スペイン,1983,1983-03-26,Manresa,,記憶,90458c23-9f5c-4f8d-8f3f-49f569764ddd
stefan-bradl,シュテファン・ブラドル,Stefan Bradl,ドイツ,1989,1989-11-29,Augsburg,2011年Moto2王者。ホンダのテストライダーとして長く代役参戦,記憶,f5f54b1e-b2c3-4bfe-9f04-e5f722a7b9e4
pol-espargaro,ポル・エスパルガロ,Pol Espargaró,スペイン,1991,1991-06-10,Granollers,,記憶,b8b255af-e344-4ca7-818b-480c18a11088
tito-rabat,ティト・ラバト,Tito Rabat,スペイン,1989,1989-05-25,Barcelona,2014年Moto2王者,記憶,5de3cfeb-632b-474a-8bcf-bb1d5841827c
remy-gardner,レミー・ガードナー,Remy Gardner,豪州,1998,1998-02-24,Sydney,,記憶,4ec18d03-c7a1-4e35-b05f-e2b66c6130f8
sandro-cortese,サンドロ・コルテーゼ,Sandro Cortese,ドイツ,1990,1990-01-06,Ochsenhausen,,記憶,d438cb8e-15a1-4c18-b589-bd5e5be0af1b
danny-kent,ダニー・ケント,Danny Kent,英国,1993,1993-11-25,Chippenham,,記憶,b02b10d9-8a0a-4db9-8048-11104b0d0d8d
lorenzo-dalla-porta,ロレンツォ・ダッラ・ポルタ,Lorenzo Dalla Porta,イタリア,1997,1997-06-22,Prato,,記憶,bc351664-358c-445b-b6a4-579cf052eb04
albert-arenas,アルベルト・アレナス,Albert Arenas,スペイン,1996,1996-12-11,Girona,,記憶,e2ffb0d7-5cec-4a50-b31c-0cf5834e2a3f
izan-guevara,イサン・ゲバラ,Izan Guevara,スペイン,2004,2004-06-28,Palma de Mallorca,,記憶,28d22e58-56c2-4c94-97fc-09453bfa089f
jaume-masia,ジャウメ・マシア,Jaume Masià,スペイン,2000,2000-10-31,Algemesi,,記憶,c89dca21-ac56-4a94-b266-63673bbb8d23
david-alonso,ダビド・アロンソ,David Alonso,コロンビア,2006,2006-04-25,Madrid,,記憶,96d9b2b4-a26b-427f-b76a-6e1294c341c0
jose-antonio-rueda,ホセ・アントニオ・ルエダ,José Antonio Rueda,スペイン,2005,2005-10-29,Sevilla,,記憶,553b174a-1c06-4bed-82b4-efcc035f1a4e
tohru-ukawa,宇川徹,Tohru Ukawa,日本,1973,1973-05-18,Chiba,MotoGP初年度2002年にランキング3位。南アフリカGPで優勝,記憶,f65438ac-aa19-452a-9599-a4ce1972d506
alex-barros,アレックス・バロス,Alex Barros,ブラジル,1970,1970-10-18,Sao Paulo,ブラジル出身。500cc時代から最高峰で長く戦ったベテラン,記憶,742f8314-5dd7-4f41-b9ad-acde70fb60ce
carlos-checa,カルロス・チェカ,Carlos Checa,スペイン,1972,1972-10-15,Sant Fruitos,MotoGPで長く活躍し、のちにスーパーバイク世界選手権で2011年王者,記憶,d3802dc5-3eb1-4f3b-a54a-1aa8fc0f2c56
norifumi-abe,阿部典史,Norifumi Abe,日本,1975,1975-09-07,Tokyo,10代でワイルドカード参戦し注目を集め、1996年日本GPで最高峰初優勝。2007年に事故で死去,記憶,c0a11a2d-1c13-424a-9d4b-80d22ae16b96
daijiro-kato,加藤大治郎,Daijiro Kato,日本,1976,1976-07-04,Saitama,2001年250cc王者（年間11勝）。2003年日本GP（鈴鹿）の事故で死去,記憶,c8d64e40-8458-4147-a7b2-e9f8c6d19b1b
loris-capirossi,ロリス・カピロッシ,Loris Capirossi,イタリア,1973,1973-04-04,Bologna,125cc・250cc王者。2003年、ドゥカティにMotoGP初優勝をもたらした,記憶,28052f42-76d1-456f-a35f-b103b093d44d
kenny-roberts-jr,ケニー・ロバーツJr.,Kenny Roberts Jr.,米国,1973,1973-07-25,Mountain View,2000年500cc王者。父ケニー・ロバーツとともに親子で最高峰王者,記憶,efc8f0f9-1888-4e1a-8891-9f3a733456fc
olivier-jacque,オリビエ・ジャック,Olivier Jacque,フランス,1973,1973-08-29,Villerupt,,記憶,c4108fc6-336f-4d2b-b129-8206f33409d9
shinya-nakano,中野真矢,Shinya Nakano,日本,1977,1977-10-10,Chiba,250ccで活躍後、MotoGPではヤマハ、カワサキ、ホンダで表彰台を獲得,記憶,39c6574b-9edc-4bb5-8aff-6393d959aa2c
nobuatsu-aoki,青木宣篤,Nobuatsu Aoki,日本,1971,1971-08-31,Sumaga,青木3兄弟の長兄。ブリヂストンやスズキの開発ライダーとしても貢献,記憶,a16eb14f-97d4-4222-9410-3c8b9ffc98e5
jurgen-van-den-goorbergh,ユルゲン・ファン・デン・フーアベルフ,Jurgen van den Goorbergh,オランダ,1969,1969-12-29,Breda,,記憶,5bebadf9-d9c9-4f6c-abcb-8a566ca92652
jeremy-mcwilliams,ジェレミー・マクウィリアムズ,Jeremy McWilliams,英国,1964,1964-04-04,Carmoney,,記憶,2fb6d802-fd17-4f8b-9552-28f2c68e7c2e
john-hopkins,ジョン・ホプキンス,John Hopkins,米国,1983,1983-05-22,Ramona,米国出身。スズキで2007年にランキング4位,記憶,09a8fe80-3aac-46de-92f1-54865b323cd6
tetsuya-harada,原田哲也,Tetsuya Harada,日本,1970,1970-06-14,Chiba,1993年250cc王者。「クールデビル」の異名,記憶,549d7548-f9a7-48c2-a5d2-b41562a8bad0
akira-ryo,梁明,Akira Ryo,日本,1965,1965-10-20,Tokyo,,記憶,d436a8e9-b94f-454c-954b-07321151a9a1
regis-laconi,レジス・ラコーニ,Régis Laconi,フランス,1975,1975-07-08,Saint Dizier,,記憶,ceeb6e97-2f91-484a-9834-58a1b54cdee9
garry-mccoy,ギャリー・マッコイ,Garry McCoy,豪州,1972,1972-04-18,Sydney,,記憶,2e2d733f-348f-4e7a-8306-3f6de108a1b8
shinichi-ito,伊藤真一,Shinichi Ito,日本,1966,1966-12-07,Miyagi,,記憶,11974117-73ad-4871-8cb6-3285b8af89a5
alex-hofmann,アレックス・ホフマン,Alex Hofmann,ドイツ,1980,1980-05-25,Mindelheim,,記憶,76c274c4-b4a3-416c-ad6b-42c29b94b9e2
jose-luis-cardoso,ホセ・ルイス・カルドソ,José Luis Cardoso,スペイン,1975,1975-02-02,Sevilla,,記憶,6fc853de-41a7-4118-b997-a28d8bf9424b
jean-michel-bayle,ジャン＝ミシェル・バイル,Jean-Michel Bayle,フランス,1969,1969-04-01,Manosque,,記憶,89b8f4a0-6ca8-4c01-adb9-c6cc796e4b6d
wataru-yoshikawa,吉川和多留,Wataru Yoshikawa,日本,1968,1968-09-26,Tokyo,,記憶,62bd8051-d93b-4064-89dc-b3aa2a4d1791
andrew-pitt,アンドリュー・ピット,Andrew Pitt,豪州,1976,1976-02-19,Kempsey,,記憶,490b8cf1-cd58-4922-b09f-e17498191e35
pere-riba,ペレ・リバ,Pere Riba,スペイン,1969,1969-05-02,Matadepera,,記憶,2f0f9640-1046-4419-ae32-7ed20c6f4343
sylvain-guintoli,シルバン・ギュントーリ,Sylvain Guintoli,フランス,1982,1982-06-24,Montelimar,2014年スーパーバイク世界王者。スズキのテストライダーとして代役参戦,記憶,3f4a19c0-09ff-4106-82d3-0158309b9cc7
yukio-kagayama,加賀山就臣,Yukio Kagayama,日本,1974,1974-05-07,Kanagawa,,記憶,ba4420cc-c6b2-4aa7-8928-02f3bf522acc
akira-yanagawa,柳川明,Akira Yanagawa,日本,1971,1971-07-15,Kagoshima,,記憶,e1298530-fbc5-4864-97c3-d85a5b7cace6
david-garcia,ダビド・ガルシア,David García,スペイン,1978,1978-09-05,Almeria,,記憶,bb9dca57-ab26-4746-a672-70eb4152f703
troy-bayliss,トロイ・ベイリス,Troy Bayliss,豪州,1969,1969-03-30,Taree,スーパーバイク世界選手権3度の王者。2006年MotoGP最終戦バレンシアで代役参戦し優勝,記憶,4cb7a1fd-4e6f-4793-93b7-c44a3bd9b6b0
makoto-tamada,玉田誠,Makoto Tamada,日本,1976,1976-11-04,Ehime,2004年にブラジルGPと日本GPで優勝,記憶,9efae3fe-c985-4968-97e8-26562e14ce34
colin-edwards,コーリン・エドワーズ,Colin Edwards,米国,1974,1974-02-27,Houston,スーパーバイク世界選手権で2度の王者。MotoGPではヤマハを中心に長く参戦,記憶,82701656-30d7-4a4d-b12a-f1f066d2cbd5
noriyuki-haga,芳賀紀行,Noriyuki Haga,日本,1975,1975-03-02,Rimini,スーパーバイク世界選手権の名手。MotoGPにも参戦,記憶,921f0e43-b23a-4569-ace4-8f69a98f77d1
ryuichi-kiyonari,清成龍一,Ryuichi Kiyonari,日本,1982,1982-09-23,Kawagoe,,記憶,233e3a41-734d-4483-a9ea-f3cbaa4434d0
tamaki-serizawa,芹沢太麻樹,Tamaki Serizawa,日本,1972,1972-09-28,Saitama,,記憶,ed531cdc-0e87-4703-a4b3-018f973d9492
jose-david-de-gea,ホセ・ダビド・デ・ヘア,José David de Gea,スペイン,1977,1977-12-09,Cehegin,,記憶,4279768d-5d9f-4afa-8f14-9a8efb5ca68c
chris-burns,クリス・バーンズ,Chris Burns,英国,1980,1980-06-12,Newcastle,,記憶,0e883c04-4a0b-4f8e-b93f-f59d5d944485
ruben-xaus,ルーベン・チャウス,Rubén Xaus,スペイン,1978,1978-02-18,Barcelona,,記憶,85b14a1f-4099-4b2b-b909-15849a09f28e
neil-hodgson,ニール・ホジソン,Neil Hodgson,英国,1973,1973-11-20,Burnley,,記憶,27819dd1-e61a-4209-901b-c0aaa1b09ebf
shane-byrne,シェーン・バーン,Shane Byrne,英国,1976,1976-12-10,Lambeth,,記憶,d69b8a71-dd5e-4c25-b33b-b29c00a01c0f
michel-fabrizio,ミケル・ファブリツィオ,Michel Fabrizio,イタリア,1984,1984-09-17,Roma,,記憶,0bf9f7c6-de86-476e-b3d6-4f37ad9bec53
james-haydon,ジェームズ・ヘイドン,James Haydon,英国,1973,1973-11-02,Amersham,,記憶,0c6e0d9b-db26-4e0d-b604-bd81e8ff1291
james-ellison,ジェームズ・エリソン,James Ellison,英国,1980,1980-09-19,Kendal,,記憶,1cb3259b-e5f9-4729-b9a4-e2f6edc7ec2e
youichi-ui,宇井陽一,Youichi Ui,日本,1972,1972-11-27,Chiba,,記憶,f04bb1e6-7009-496d-afb6-5be16e7d3da1
kurtis-roberts,カーティス・ロバーツ,Kurtis Roberts,米国,1978,1978-11-17,Turloc,,記憶,ce726572-2e6e-45c0-b36e-5ca43d9e2a6b
gregorio-lavilla,グレゴリオ・ラビジャ,Gregorio Lavilla,スペイン,1973,1973-09-29,L'Hospitalet de L'Infant,,記憶,f826ad9b-f597-424b-8b92-cce9bcb965c8
roberto-rolfo,ロベルト・ロルフォ,Roberto Rolfo,イタリア,1980,1980-03-23,Torino,,記憶,7f61813e-1b48-457b-873d-fd7243ea8217
chris-vermeulen,クリス・バーミューレン,Chris Vermeulen,豪州,1982,1982-06-19,Brisbane,,記憶,e1b53ac0-671d-41b1-9d9b-ed7195107f42
franco-battaini,フランコ・バッタイーニ,Franco Battaini,イタリア,1972,1972-07-22,Brescia,,記憶,74cd9bb3-0ee9-4571-ba1d-1735affe99b2
david-checa,ダビド・チェカ,David Checa,スペイン,1980,1980-04-20,Barcelona,,記憶,5e59dafb-9faa-4a84-9016-5fc9177168a9
naoki-matsudo,松戸直樹,Naoki Matsudo,日本,1973,1973-07-25,Barcelona,,記憶,45ca947c-7e1a-42d3-8dc3-c4c2bb7de6c5
randy-de-puniet,ランディ・ド・プニエ,Randy de Puniet,フランス,1981,1981-02-14,Maisons Laffitte,,記憶,396b664f-b3ac-4e16-9612-21150f220e85
kousuke-akiyoshi,秋吉耕佑,Kousuke Akiyoshi,日本,1975,1975-01-12,Kurume,ホンダ・スズキの代役やワイルドカードで参戦,記憶,25187807-3540-4d06-b160-680bb97d6ff6
anthony-west,アンソニー・ウエスト,Anthony West,豪州,1981,1981-07-17,Gold Coast,,記憶,5a9735fa-ee49-4c2e-a2df-9bcb54057882
fonsi-nieto,フォンシ・ニエト,Fonsi Nieto,スペイン,1978,1978-12-02,Madrid,,記憶,1aae930d-7fca-4fa1-8388-a985a431813d
chaz-davies,チャズ・デイビス,Chaz Davies,英国,1987,1987-02-10,Knighton,,記憶,0a1b87ca-3aae-4e68-8f97-c333ac3d9b36
miguel-duhamel,ミゲル・デュアメル,Miguel Duhamel,カナダ,1968,1968-05-26,Montreal,,記憶,4a11e7dc-e7e7-4384-a05f-040b80328ebf
james-toseland,ジェームズ・トースランド,James Toseland,英国,1980,1980-10-05,Sheffield,スーパーバイク世界選手権で2度の王者,記憶,c28bca1e-db5b-4a2a-a2df-41b8079b0ea2
alex-de-angelis,アレックス・デ・アンジェリス,Alex de Angelis,サンマリノ,1984,1984-02-26,Rimini,,記憶,b4377445-e881-4841-b981-815aa496c1df
ben-spies,ベン・スピーズ,Ben Spies,米国,1984,1984-07-11,Memphis,2009年スーパーバイク世界王者。2011年オランダGPでMotoGP初優勝,記憶,d6e07f2a-a327-40ab-874b-e957dcc74705
jamie-hacking,ジェイミー・ハッキング,Jamie Hacking,米国,1971,1971-06-30,,,記憶,77b37c63-d1fb-4cc5-9900-03b1114bfcb2
tadayuki-okada,岡田忠之,Tadayuki Okada,日本,1967,1967-02-13,Ibaragi,,記憶,4b716469-e69b-4b2f-b2df-5b671b86578f
mika-kallio,ミカ・カリオ,Mika Kallio,フィンランド,1982,1982-11-08,Valkeakoski,フィンランド出身。KTMのテストライダーとして代役参戦,記憶,1733dda2-0ead-48c8-8b80-4ebaa82c1024
niccolo-canepa,ニッコロ・カネパ,Niccolò Canepa,イタリア,1988,1988-05-14,Genova,,記憶,0718c3a9-961a-4a26-babd-59df2a5f002a
yuki-takahashi,高橋裕紀,Yuki Takahashi,日本,1984,1984-07-12,Saitama,,記憶,cf715943-f5ff-40b8-9628-9a147557350b
hector-barbera,エクトル・バルベラ,Héctor Barberá,スペイン,1986,1986-11-02,Dos Aguas,スペイン出身。アビンティア（ドゥカティ）などで長く参戦,記憶,b7374486-d13a-4177-af37-4d119fd3b2c9
roger-lee-hayden,ロジャー・リー・ヘイデン,Roger Lee Hayden,米国,1983,1983-05-30,Owensboro,,記憶,4ae4f944-ac41-4e0a-822a-455193722a80
cal-crutchlow,カル・クラッチロー,Cal Crutchlow,英国,1985,1985-10-29,Coventry,2016年チェコGPで優勝し、英国人として1981年以来の最高峰優勝。のちにヤマハのテストライダー,記憶,ec9adf3a-985f-4eb6-8ffd-54b688f49846
karel-abraham,カレル・アブラハム,Karel Abraham,チェコ,1990,1990-01-02,Brno,チェコ出身。父が率いるチームから最高峰にデビュー,記憶,18a36d21-4531-46f3-ba48-2c801703e409
katsuyuki-nakasuga,中須賀克行,Katsuyuki Nakasuga,日本,1981,1981-08-09,Shizuoka,全日本ロードレースの王者。ヤマハのテスト・ワイルドカードで参戦,記憶,d027b9d7-13ae-4947-958b-ef89a6985fc3
josh-hayes,ジョシュ・ヘイズ,Josh Hayes,米国,1975,1975-04-04,,,記憶,74dff7ca-4202-4151-8c66-fc517805af73
damian-cudlin,ダミアン・カドリン,Damian Cudlin,豪州,1982,1982-10-19,Sydney,,記憶,3a0cc85f-c1da-443d-a1ef-8c4c1fe7902a
ben-bostrom,ベン・ボストロム,Ben Bostrom,米国,1974,1974-05-07,,,記憶,2282d0b4-9062-407d-87c0-c78d244f2935
michele-pirro,ミケーレ・ピッロ,Michele Pirro,イタリア,1986,1986-07-05,San Giovanni Rotondo,ドゥカティのテストライダーとしてワイルドカード・代役で多数参戦,記憶,7c653b2a-b493-436b-a77e-06a43b37b799
yonny-hernandez,ヨニー・エルナンデス,Yonny Hernández,コロンビア,1988,1988-07-25,Medellín,,記憶,77f20edc-7a6b-4e6b-bc19-3bc0c1685d35
danilo-petrucci,ダニロ・ペトルッチ,Danilo Petrucci,イタリア,1990,1990-10-24,Terni,2019年イタリアGP（ムジェロ）で最高峰初優勝,記憶,c403dc28-7881-4d3d-99d4-5fe5eb1236e5
jonathan-rea,ジョナサン・レイ,Jonathan Rea,英国,1987,1987-02-02,Larne,スーパーバイク世界選手権で6連覇（2015〜2020年）,記憶,08e1e5f3-6581-4272-8e79-1fc8d296c1aa
mattia-pasini,マッティア・パシーニ,Mattia Pasini,イタリア,1985,1985-08-13,Rimini,,記憶,038b4557-1de1-4dac-84cd-76b2911f0761
ivan-silva,イバン・シルバ,Iván Silva,スペイン,1982,1982-06-12,Barcelona,,記憶,5ad206ff-b1d4-4da2-b182-c7920036fcec
steve-rapp,スティーブ・ラップ,Steve Rapp,米国,1974,1974-11-18,,,記憶,7f43ade1-b2b4-46d8-88f7-fe4545b7bc56
david-salom,ダビド・サロム,David Salom,スペイン,1984,1984-10-16,Palma de Mallorca,,記憶,1c38c4d6-1234-425f-a674-3d95348858da
aaron-yates,アーロン・イェーツ,Aaron Yates,米国,1973,1973-12-13,,,記憶,a450e4bc-58bc-4ad1-9bc2-6cec69df5ccc
claudio-corti,クラウディオ・コルティ,Claudio Corti,イタリア,1987,1987-06-25,Como,,記憶,bc323344-94d7-4bbb-887c-5f0ff560f698
kris-mclaren,クリス・マクラーレン,Kris McLaren,豪州,1986,1986-10-17,,,記憶,ae34244f-46df-4d06-b075-33766d73e52d
bradley-smith,ブラッドリー・スミス,Bradley Smith,英国,1990,1990-11-28,Oxford,,記憶,a0875b6b-ff29-40d8-93b4-88097b83fac0
andrea-iannone,アンドレア・イアンノーネ,Andrea Iannone,イタリア,1989,1989-08-09,Vasto,2016年オーストリアGPで優勝（ドゥカティ）,記憶,8c0dc3c9-48bc-4e28-95c7-5671171ed7a6
michael-laverty,マイケル・ラバティ,Michael Laverty,英国,1981,1981-06-07,Toomebridge,,記憶,bd4e106a-8789-4d54-a9a2-67458569d164
bryan-staring,ブライアン・ステアリング,Bryan Staring,豪州,1987,1987-06-01,Perth,,記憶,07b268ed-fbdb-4cc9-92c8-3e2af79245cb
javier-del-amor,ハビエル・デル・アモール,Javier del Amor,スペイン,1976,1976-08-06,Madrid,,記憶,b6ef6667-e558-42da-98e0-f852b74fe74b
luca-scassa,ルカ・スカッサ,Luca Scassa,イタリア,1983,1983-08-23,Arezzo,,記憶,d47c98b8-ac82-46c6-a4a6-702baeabd67a
lukas-pesek,ルカシュ・ペシェク,Lukáš Pešek,チェコ,1985,1985-11-22,Prague,,記憶,e0ed2e60-b2b8-4be9-bbb3-608feb8d08d8
